epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2385,0.98573,3.2245,1.46113,0.01335,1,0.86667,0.40596,0.86029,3.9987,1.36848,2.5e-05,2.5e-05,2.5e-05
2,46.3826,1.00931,3.24695,1.52147,0.01401,1,0.981,0.70333,0.55483,3.835,0.97329,4.70313e-05,4.70313e-05,4.70313e-05
3,62.4986,0.73059,3.02632,1.34038,0.01481,1,0.98125,0.73667,0.43756,3.7843,0.72647,5.05e-05,5.05e-05,5.05e-05
4,80.0155,0.72982,2.96367,1.3607,0.01632,1,0.97158,0.71444,0.41078,3.76579,0.67415,3.54062e-05,3.54062e-05,3.54062e-05
