epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3222.91,0.67621,0.70805,1.04109,0.96444,0.94351,0.995,0.79612,0.91428,0.61703,1.02549,0.000933851,0.000933851,0.000933851
44,3292.14,0.72935,0.6644,0.99776,0.90912,1,0.98833,0.75083,1.05213,0.61729,1.12009,0.000922062,0.000922062,0.000922062
45,3362.85,0.74082,0.69201,1.04158,0.8056,0.98049,0.97444,0.77206,0.93972,0.74667,1.04477,0.000910273,0.000910273,0.000910273
46,3441.28,0.70912,0.75138,1.05345,0.8056,0.98049,0.97444,0.77206,0.93972,0.74667,1.04477,0.000898484,0.000898484,0.000898484
47,3510.91,0.70152,0.70816,1.00779,0.7891,0.98401,0.96722,0.7976,0.83332,0.77112,0.97952,0.000886694,0.000886694,0.000886694
48,3579.45,0.72123,0.6226,1.00657,0.9917,0.95401,0.995,0.81109,0.85308,0.56559,0.99338,0.000874905,0.000874905,0.000874905
49,3646.04,0.72203,0.65093,1.00785,0.9917,0.95401,0.995,0.81109,0.85308,0.56559,0.99338,0.000863116,0.000863116,0.000863116
50,3721.14,0.72712,0.6394,1.04847,0.98477,0.94515,0.995,0.80599,0.81779,0.5622,0.97727,0.000851327,0.000851327,0.000851327
51,3789.29,0.81413,0.75524,1.08422,0.90644,0.9954,0.995,0.79214,0.93369,0.59344,1.03913,0.000839537,0.000839537,0.000839537
52,3864.4,0.71495,0.71612,1.06508,0.90644,0.9954,0.995,0.79214,0.93369,0.59344,1.03913,0.000827748,0.000827748,0.000827748
53,3929.79,0.70733,0.57602,0.9868,0.98949,0.99694,0.995,0.79053,0.96098,0.53467,1.05236,0.000815959,0.000815959,0.000815959
54,3997.1,0.72898,0.59965,1.04136,0.9879,1,0.995,0.81306,0.80708,0.57552,0.97576,0.00080417,0.00080417,0.00080417
55,4066.92,0.80025,0.73728,1.09749,0.95383,1,0.995,0.83561,0.75484,0.57461,0.95114,0.00079238,0.00079238,0.00079238
56,4136.46,0.70494,0.61956,0.98756,0.95383,1,0.995,0.83561,0.75484,0.57461,0.95114,0.000780591,0.000780591,0.000780591
57,4212.77,0.68693,0.54397,1.03865,0.97424,0.99674,0.995,0.81075,0.8589,0.50403,0.99052,0.000768802,0.000768802,0.000768802
58,4282.99,0.73369,0.55827,1.04618,0.96813,0.94314,0.995,0.76616,1.00421,0.58444,1.06106,0.000757013,0.000757013,0.000757013
59,4352.35,0.66919,0.58131,1.00668,0.96813,0.94314,0.995,0.76616,1.00421,0.58444,1.06106,0.000745223,0.000745223,0.000745223
60,4420.42,0.7359,0.53292,1.06232,0.91203,0.99585,0.995,0.80611,0.89127,0.5618,1.00126,0.000733434,0.000733434,0.000733434
61,4492.59,0.73002,0.58613,1.0521,0.95799,0.99326,0.995,0.82054,0.7315,0.43114,0.9375,0.000721645,0.000721645,0.000721645
62,4560.86,0.68929,0.56542,1.00319,0.95799,0.99326,0.995,0.82054,0.7315,0.43114,0.9375,0.000709856,0.000709856,0.000709856
