epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1749.04,0.69567,1.08901,0.90305,0.78657,0.96171,0.96722,0.78405,0.81783,1.08271,0.94154,0.000933851,0.000933851,0.000933851
44,1788.38,0.71375,0.97727,0.886,0.96762,0.75,0.95925,0.74184,0.93895,1.03936,0.9662,0.000922062,0.000922062,0.000922062
45,1827.76,0.7432,1.02068,0.90268,0.82047,0.99554,0.995,0.76957,0.94714,0.9751,0.96649,0.000910273,0.000910273,0.000910273
46,1869.96,0.7083,1.04631,0.86948,0.82047,0.99554,0.995,0.76957,0.94714,0.9751,0.96649,0.000898484,0.000898484,0.000898484
47,1910.37,0.70737,0.91908,0.88712,0.99067,1,0.995,0.80163,0.82808,0.83495,0.94611,0.000886694,0.000886694,0.000886694
48,1946.56,0.7388,1.00427,0.88053,0.98904,1,0.995,0.84611,0.72446,0.69918,0.92616,0.000874905,0.000874905,0.000874905
49,1985.78,0.72519,0.99607,0.88655,0.98904,1,0.995,0.84611,0.72446,0.69918,0.92616,0.000863116,0.000863116,0.000863116
50,2027.82,0.75925,0.93856,0.89385,0.98635,1,0.995,0.82773,0.74808,0.70236,0.92454,0.000851327,0.000851327,0.000851327
51,2070.75,0.79555,1.02393,0.91519,0.98741,1,0.995,0.79272,0.90283,0.73847,0.9436,0.000839537,0.000839537,0.000839537
52,2116.66,0.74709,0.97657,0.92543,0.98741,1,0.995,0.79272,0.90283,0.73847,0.9436,0.000827748,0.000827748,0.000827748
53,2155.16,0.71865,0.90075,0.87906,0.98503,1,0.995,0.73345,1.04212,0.7589,0.96769,0.000815959,0.000815959,0.000815959
54,2194.45,0.71469,0.97305,0.88401,0.97954,1,0.995,0.73617,1.02748,0.79426,0.97083,0.00080417,0.00080417,0.00080417
55,2235.59,0.79655,1.0079,0.91053,0.81997,1,0.995,0.75447,0.92574,0.98441,0.95763,0.00079238,0.00079238,0.00079238
56,2276.16,0.72336,0.90141,0.87572,0.81997,1,0.995,0.75447,0.92574,0.98441,0.95763,0.000780591,0.000780591,0.000780591
57,2317.26,0.68494,0.86633,0.90845,0.81975,1,0.995,0.79869,0.80289,0.95694,0.94203,0.000768802,0.000768802,0.000768802
58,2361.43,0.74962,0.97977,0.91266,0.9886,0.94164,0.995,0.81293,0.74929,0.89731,0.93209,0.000757013,0.000757013,0.000757013
59,2404.75,0.67077,0.90228,0.87663,0.9886,0.94164,0.995,0.81293,0.74929,0.89731,0.93209,0.000745223,0.000745223,0.000745223
60,2446.36,0.69726,0.87855,0.91519,0.8261,1,0.995,0.82104,0.74477,0.84452,0.92954,0.000733434,0.000733434,0.000733434
61,2489.43,0.7122,0.83659,0.90277,0.86894,1,0.995,0.82249,0.78305,0.83479,0.9382,0.000721645,0.000721645,0.000721645
62,2529.84,0.68073,0.94491,0.8566,0.86894,1,0.995,0.82249,0.78305,0.83479,0.9382,0.000709856,0.000709856,0.000709856
