epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4122,2.27176,4.76234,2.53768,0.01317,1,0.86984,0.51452,0.76161,3.94411,1.25174,2.5e-05,2.5e-05,2.5e-05
2,42.3514,1.31499,4.1081,1.86947,0.0135,1,0.995,0.81185,0.30358,3.77496,0.65965,5.63125e-05,5.63125e-05,5.63125e-05
3,57.4416,0.71811,3.6438,1.39995,0.01392,1,0.981,0.84963,0.20264,3.73,0.40091,8.02e-05,8.02e-05,8.02e-05
4,73.077,0.4727,3.15415,1.24974,0.0137,1,0.82331,0.80572,0.1936,3.65479,0.34553,9.66625e-05,9.66625e-05,9.66625e-05
5,89.3629,0.38388,2.63416,1.18717,0.01552,1,0.76892,0.76892,0.15012,3.51518,0.2905,0.0001057,0.0001057,0.0001057
6,109.099,0.26616,2.17451,1.16716,0.01816,1,0.95765,0.95765,0.13555,3.38297,0.24489,0.000107312,0.000107312,0.000107312
7,126.263,0.27146,1.91699,1.06761,0.02288,1,0.995,0.995,0.12691,3.14878,0.20207,0.0001015,0.0001015,0.0001015
8,144.055,0.35612,1.88221,1.17276,0.02357,1,0.995,0.995,0.12606,3.01645,0.19133,8.82625e-05,8.82625e-05,8.82625e-05
9,159.195,0.21811,1.56286,1.08258,0.02602,1,0.995,0.995,0.10735,2.82143,0.17607,6.76e-05,6.76e-05,6.76e-05
10,175.014,0.20981,1.43272,1.05285,0.02708,1,0.995,0.995,0.10031,2.76948,0.17682,3.95125e-05,3.95125e-05,3.95125e-05
