epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,601.029,0.59374,0.81627,0.87855,0.96012,1,0.995,0.91011,0.47881,1.04963,0.8339,0.000820675,0.000820675,0.000820675
45,612.979,0.58407,0.69907,0.8612,0.96012,1,0.995,0.91011,0.47881,1.04963,0.8339,0.000806528,0.000806528,0.000806528
46,626.429,0.63773,0.77288,0.89859,0.96012,1,0.995,0.91011,0.47881,1.04963,0.8339,0.00079238,0.00079238,0.00079238
47,638.421,0.61999,0.7628,0.881,0.96277,1,0.995,0.90929,0.49105,1.13189,0.82497,0.000778233,0.000778233,0.000778233
48,650.91,0.67762,0.80643,0.86977,0.96277,1,0.995,0.90929,0.49105,1.13189,0.82497,0.000764086,0.000764086,0.000764086
49,664.141,0.66408,0.77081,0.87088,0.97075,1,0.995,0.89037,0.51762,1.10547,0.82388,0.000749939,0.000749939,0.000749939
50,675.943,0.61998,0.775,0.87895,0.97075,1,0.995,0.89037,0.51762,1.10547,0.82388,0.000735792,0.000735792,0.000735792
51,688.243,0.62203,0.78263,0.84423,0.97075,1,0.995,0.89037,0.51762,1.10547,0.82388,0.000721645,0.000721645,0.000721645
52,700.043,0.5659,0.77303,0.86764,0.98422,1,0.995,0.88941,0.52475,0.90319,0.83128,0.000707498,0.000707498,0.000707498
53,711.979,0.57074,0.75621,0.85242,0.98422,1,0.995,0.88941,0.52475,0.90319,0.83128,0.000693351,0.000693351,0.000693351
54,725.231,0.61664,0.72652,0.9022,0.98422,1,0.995,0.88941,0.52475,0.90319,0.83128,0.000679204,0.000679204,0.000679204
55,737.325,0.63765,0.73602,0.8807,0.99212,1,0.995,0.89529,0.51353,0.81462,0.83619,0.000665057,0.000665057,0.000665057
56,749.49,0.67192,0.73561,0.87365,0.99212,1,0.995,0.89529,0.51353,0.81462,0.83619,0.000650909,0.000650909,0.000650909
57,761.892,0.54993,0.75838,0.84496,0.9904,1,0.995,0.89813,0.50923,0.86512,0.83094,0.000636762,0.000636762,0.000636762
58,775.954,0.57726,0.69083,0.86574,0.9904,1,0.995,0.89813,0.50923,0.86512,0.83094,0.000622615,0.000622615,0.000622615
59,792.561,0.60253,0.721,0.87998,0.9904,1,0.995,0.89813,0.50923,0.86512,0.83094,0.000608468,0.000608468,0.000608468
60,805.386,0.56077,0.69496,0.8518,0.98778,1,0.995,0.89448,0.4948,0.84754,0.82525,0.000594321,0.000594321,0.000594321
61,817.75,0.5885,0.64895,0.83398,0.98778,1,0.995,0.89448,0.4948,0.84754,0.82525,0.000580174,0.000580174,0.000580174
62,829.685,0.5688,0.70144,0.86921,0.98778,1,0.995,0.89448,0.4948,0.84754,0.82525,0.000566027,0.000566027,0.000566027
63,842.348,0.60193,0.65323,0.87341,0.9842,1,0.995,0.90132,0.49075,0.72932,0.82009,0.00055188,0.00055188,0.00055188
64,855.241,0.58601,0.73274,0.83655,0.9842,1,0.995,0.90132,0.49075,0.72932,0.82009,0.000537733,0.000537733,0.000537733
65,867.8,0.59204,0.67884,0.85457,0.98803,1,0.995,0.89333,0.48951,0.66924,0.82404,0.000523586,0.000523586,0.000523586
66,880.321,0.58064,0.66443,0.86089,0.98803,1,0.995,0.89333,0.48951,0.66924,0.82404,0.000509438,0.000509438,0.000509438
67,893.101,0.59652,0.71765,0.85655,0.98803,1,0.995,0.89333,0.48951,0.66924,0.82404,0.000495291,0.000495291,0.000495291
68,905.477,0.58942,0.66748,0.83776,0.99206,1,0.995,0.9146,0.45858,0.6574,0.82151,0.000481144,0.000481144,0.000481144
